Nghe bài hát cơn mưa đi qua đâu,music
Nghe bài hát trái tim bên này,music
Nghe bài hát địa đàng của tôi,music
Nghe bài hát cơn mưa tình em,music
Nghe bài hát bước qua em,music
Nghe bài hát những lời hứa,music
Nghe bài hát mùa xuân cho anh,music
Nghe bài hát mùa thu cho vợ,music
Nghe bài hát bước qua mùa thu đông,music
Nghe bài hát thiên lý đây,music
Nghe bài hát vào hạ rồi,music
Nghe bài hát cơn mưa đi qua,music
Nghe bài hát trái tim bên đường,music
Nghe bài hát ngày mai đây,music
Nghe bài hát cơn mưa mùa thu,music
Nghe bài hát bước qua anh,music
Nghe bài hát những lời hứa bỏ rơi,music
Tìm bài hát giấc mơ trưa,music
Tìm bài hát đi giữa trời rực rỡ,music
Tìm bài hát bầu trời mới,music
Tìm bài hát khó vẽ nụ cười,music
Tìm bài hát suýt nữa thì,music
Tìm bài hát thành phố phía đông,music
Tìm bài hát chậm lại,music
Tìm bài hát đừng làm trái tim anh đau,music
Tìm bài hát gió đánh đò đưa,music
Tìm bài hát âm thầm bên em,music
Tìm bài hát bầu trời mới,music
Tìm bài hát răng khôn,music
Tìm bài hát mưa hồng,music
Tìm bài hát anh là ai,music
Tìm bài hát giấc mơ chiều,music
Tìm bài hát đi giữa trời tốt đẹp,music
Tìm bài hát bầu trời cũ,music
Tìm bài hát khó vẽ anh,music
Tìm bài hát suýt nữa thì sao,music
Tìm bài hát thành phố phía tây,music
Tìm bài hát chậm lại một chút,music
Tìm bài hát đừng làm trái tim em đau,music
Tìm bài hát gió đánh đò đưa nhanh,music
Tìm bài hát âm thầm bên anh,music
Tìm bài hát bầu trời xịn,music
Tìm bài hát xuân đến,music
Tìm bài hát mưa tím,music
Tìm bài hát em là ai,music
Tìm bài hát giấc mơ đêm,music
Tìm bài hát đi giữa trời mưa,music
Tìm bài hát bầu trời xịn,music
Tìm bài hát khó vẽ em,music
Tìm bài hát suýt nữa thì đây,music
Tìm bài hát thành phố phía nam,music
Tìm bài hát chậm lại nhiều chút,music
Tìm bài hát đừng làm trái tim tôi đau,music
Tìm bài hát gió đánh cành tre,music
Tìm bài hát âm thầm bên ai,music
Tìm bài hát bầu trời đây,music
Tìm bài hát xuân đến xuân đi,music
Tìm bài hát chiều tím,music
Tìm bài hát tôi là ai,music
Tìm bài hát thành phố phía bắc,music
Tìmbài hát chậm lại đi em,music
Tìm bài hát đừng làm trái tim tôi quên,music
Tìm bài hát gió đánh cành đa,music
Tìm bài hát âm thầm bên mình,music
Tìm bài hát bầu trời xanh,music
Tìm bài hát mùa thu đến,music
Tìm bài hát thiên lý này,music
Tìm bài hát đi chơi với em,music
Tìm bài hát ngày mai trời đẹp,music
Mở cửa ra,door
Mở cửa ra cho sáng,door
Mở cửa nhé,door
Mở cửa thôi,door
Mở cửa đi,door
Mở cửa ra đi cho thoáng đãng,door
Mở cửa ra cho sáng và sạch,door
Mở cửa nhỉ,door
Mở cửa thôi nào,door
Mở cửa đi nào,door
Vừng ơi mở ra,door
Mở cửa ra đi chơi,door
Mở cửa ra ngoài,door
Vừng ơi mở cửa ra,door
Mở cửa ra nào,door
Mở cửa ra nhé,door
Hãy mở cửa ra,door
Mở cửa,door
Đóng cửa,door
Đóng cửa mau,door
Đóng cửa đi,door
Đóng cửa nào,door
Đóng cửa nhé,door
Đóng cửa lại nhé,door
Đóng cửa lại,door
Đóng cửa nhỉ,door
Đóng cửa mau nhé,door
Đóng cửa đi nhỉ,door
Đóng cửa nào để cho ấm,door
Đóng cửa nhé cho ấm,door
Đóng cửa lại nhé cho yên tĩnh,door
Đóng cửa lại cho đỡ ồn,door
Đóng cửa lại cho ấm,door
Cần đóng cửa lại,door
Cần phải đóng cửa lại,door
Mau đóng cửa lại,door
Khép cửa lại,door
Khép cửa lại cho ấm,door
Khép cửa nè,door
Khép cửa lại mau,door
Khép cửa đi,door
Khép cửa nhé,door
Khép cửa lại cho đỡ ồn,door
Khép cửa lại cho yên tĩnh,door
Khép cửa nè cho an tâm,door
Khép cửa lại mau cho đỡ ồn,door
Khép cửa đi cho yên tĩnh,door
Khép cửa nhé cho an tâm,door
